autores,titulo,ano,tipo,orientador,quantidade,local,numero,localizacao,idioma
"AB' SABER, Aziz Nacib",Geomorfologia do sítio urbano de São Paulo,1956,D,,1,São Paulo,17/1-2,Rua estranha,PT-BR
"AB' SABER, Aziz Nacib",Bases Geomorfológicas Para Estudo do Quaternário no Estado de São Paulo,1968,T,,2,São Paulo,18/1-2,Lorem ,PT-BR
"ABREU, Adilson Avansi de",Análise Geomorfológica: Reflexão e Aplicação (Uma contribuição ao conhecimento das formas de relevo do Planalto de Diamantina - MG),1982,LD,,1,São Paulo,16/1-2,Ipsum,PT-BR
"ABREU, Adílson Avansi de",A colonização agrícola holandesa no estado de São Paulo - Holambra I (contribuição à Geografia do povoamento do estado de São Paulo,1970,M,,2,São Paulo,13/01/2016,19832,PT-BR
"ALMEIDA, Elsione Elisa Ract de",A organização espacial do setor metropolitano ocidental de São Paulo,1975,D,,1,São Paulo,7/1-2,Texto grande ou nem tanto 1329,PT-BR
"ALVES, Neise Mare De Souza",Analise geoambiental e socioeconomica dos municipios costeiros do litoral norte do estado de Sergipe - Diagnostico como subsidio ao ordenamento e gestao do territorio,2009,D,Profa. Dra. Aracy Losano Fontes,1,Sao Paulo,12/1-2,1923,PT-BR
"ALVES, Neliane de Sousa",Mapeamento hidromorfodinâmico do complexo fluvial de Anavilhanas. Constribuição aos estudos de geomorfologia fluvial de rio amazônicos,2013,D,Prof. Dra. Cleide Rodrigues,1,São Paulo,,kasdjkasda,PT-BR
"ALVES, Ricardo Reis",Gênese e evolução da paisagem quaternária no médio São Francisco: Fatos e evidências na bacia do Rio Grande - Bahia,2011,D,Prof. Dr. Sílvio Carlos Rodrigues,1,Uberlândia,,,PT-BR
"AMARAL, Rosangela do","Unidades Ecodinâmicas: Um estudo de fragilidade ambiental aplicado à Bacia do Ribeirão Bonito e ao Parque Estadual do Morro do Diabo0, município de Tedoro Sampaio/SP",2005,M,Prof. Dr. Jurandyr L . S. Ross,2,São Paulo,,,PT-BR
"AMÉRICO, Jonathan",Conectividade insular: Um estudo da presença de Spartina alterniflora nas ilhas de Cananéia e comprida,2010,M,Prof. Dra. Sueli Angelo Furlan,1,São Paulo,,,PT-BR
"ANDRADE, Marcio Roberto M. de",Planejamento Ambiental da APA Cabuçu-Tanque Grande Guarulhos-SP,2009,D,Prof. Dr. Ailton Luchiari,1,São Paulo,,,PT-BR
"ANDRADE, Márcio Roberto M. de",Cartografia de Aptidão para Assentamento Urbano do Município de Guarulhos,1999,M,Prof. Dr. Flávio S. Rosa,1,São Paulo,,,PT-BR
"ANTUNES, Adriano de Souza",Fenômenos de precipitação pluvial intensa: análise de espacialidade e variabilidade na bacia hidrográfica do rio Piracicaba - SP,2015,M,Prof. Dr. Emerson Galvani,1,São Paulo,,,PT-BR
"ANTUNES, Roberto Luiz dos Santos",Análise integrada da paisagem com a aplicação do sensoriamento remoto na bacia hidrográfica do rio Botucaraí - Rio Grande do Sul,2016,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"ARANTES, Fábio",Os resíduos sólidos domiciliares no município de Guarulhos: Análise das variáveis Eficiência e Sustentabilidade na gestão do Aterro Sanitário,2009,M,Prof. Dr. Luís Antonio Bittar Venturi,1,São Paulo,,,PT-BR
"BACANI, Vitor Matheus","Geotecnologias aplicadas ao ordenamento físico-territorial da bacia do alto rio Coxim, MS",2010,D,Prof. Dr. Ailton Luchiari,1,São Paulo,,,PT-BR
"BACCARO, Claudete Aparecida Dallevedone",Estudo dos processos Geomorfológicos de Escoamento Pluvial em Área de Cerrado - Uberlândia - MG,1990,D,Profa. Dra. Olga Cruz,1,São Paulo,,local da coluna 18,PT-BR
"BACCARO, Claudete Aparecida Dallevedove",Estudo dos processos geomorfológicos de escoamento pluvial em área de cerrado - Uberlândia / MG,1990,Doutorado,Profª. Drª. Olga Cruz,1,,,local da coluna 19,PT-BR
"BARBOSA, Estêvão José da Silva","Formação de georrelevos antrópicos na Amazônia: estudo de caso na rodovia Belém-Brasília (BR-010), Estado do Pará",2015,D,Prof. Dr. Adilson Avansi Abreu,1,São Paulo,,,PT-BR
"BARROS, Luiz Gustuvo Meira",Sobre o leito vacilante: mudanças na Geomorfologia fluvial em meados do século XX,2014,M,Prof. Dr. Antonio Carlos Colangelo,1,São Paulo,,,PT-BR
"BATRES, Vera Beatrz Kohler",A foz do Rio Itanhaém e áreas adjacentes - estudo de geomorfologia costeira,1978,Doutorado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"BENÍCIO, Taís D'Aquino-",A água em São Paulo. Políticas públicas. Dinâmica Urbana. (Um estudo da bacia do Guarapiranga),1995,M,Profa. Dra. Maria Adélia de Souza,1,São Paulo,,,PT-BR
"BERTOLINI, William Zanete",A alta bacia do rio Piranga (MG): estudo geomorfológico a propósito da condição de equilíbrio do relevo,2015,D,Prof. Dr. Adilson Avansi Abreu,1,São Paulo,,,PT-BR
"BEU, Sandra Eliza",Análise socioambiental do complexo estuario-lagunar de Cananéia-Iguape e Ilha Comprida (SP): subsídios para o planejamento ambiental na região,2008,M,Profª. Dra. Sônia Maria Floes Gianesella,1,São Paulo,,,PT-BR
"BIANES, Lucília",A aplicação do indicador de sustentabilidade BAF no mapeamento de geótopos urbanos: um experimento para a Bacia Hidrográfica do Córrego Água Espraiada São Paulo - SP,2011,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"BIELAVSKY, Mariana",Para onde cresce a cidade: Dinâmica de expansão urbana e caracterização urbano-ambiental em área da bacia do Guarapiranga,2006,M,Prof. Dr. Ailton Luchiari,1,São Paulo,,,PT-BR
"BLANES, Lucilia",Análise dos biótopos da bacia hidrográfica do córrego águas espraiadas - São Paulo-SP,2006,M,Prof. Dr. Jurandyr L. S. Ross,1,São Paulo,,,PT-BR
"BLANES, Lucilia",Análise dos Biôtopos da Bacia Hidrográfica do Córrego Águas Espraiadas - São Paulo - SP,2006,M,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"BLANES, Lucília",Análise dos biótopos da bacia hidrográfica do córrego Águas Espraiadas - São Paulo-SP,2006,M,Prof. Dr. Jurandyr L. S. Ross,2,São Paulo,,,PT-BR
"BOCHICCHIO, Vincenzo R.",Intodução ao uso de um sistema classificatório pelo coeficiente de similaridade na análise de dados de área urbana obtidos por foto-interpretação - Ensaio Metodológico,1973,D,,1,São Paulo,,,PT-BR
"BORDEST, Suíse Monteiro Leon",Riscos Ambientais na Alta Bacia do Rio Coxipó - MT,1992,D,Prof. Dr. Antonio Christofoletti,1,Rio Claro,,,PT-BR
"BORSOI, Luis Fernando",Análise da fragilidade na bacia do Ribeirão Avecuia-SP,2002,M,Prof. Dr. Jurandyr L. S. Ross,2,São Paulo,,,PT-BR
"BOTELHO, Caio Lóssio",Geoclimorfologia no Tempo e no Espaço,1959,Tese Concurso Professor,,1,Ceará,,,PT-BR
"CABRAL, Ivaniza de Lourdes Lazzarotto",Capacidade de uso da Terra da Bacia Hidrográfica Areal Grande (Cacequi - RS),1998,M,Prof. Dr. Flávio Sammarco Rosa,1,São Paulo,,,PT-BR
"CAMPOS NETO, Mario da Costa","Contribution a l'etude des brasilides. Lithostratigraphie et Structure des groupes Canastra, Paranoa et Bambui dans L'Ouest - Nord-Ouest de L'Etat de Minas Gerais (Bresil)",1979,D,,1,Paris,,,PT-BR
"CAMPOS, Alfredo Borges de",Análise Morfoestrutural e cartografia geomorfológica na Bacia do Rio Candonga - Zona do Alto São Francisco - Arcos / MG (Dissertação e Apêndice 2),1998,M,Prof. Dr. Adilson A. Abreu,1,São Paulo,,,PT-BR
"CAMPOS, Waldir Wagner","Análise e mapeamento da estrutura da paisagem da Ilha Comprida, no litoral sul de São Paulo",2013,D,Profª. Drª. Sueli Angelo Furlan,1,São Paulo,,,PT-BR
"CAPELLARI, Benjamim","Aplicação de Geoindicadores na bacia do sistema hidrográfico Arantes - São Domingos, MG",2011,D,Prof. Dra. Lylian Coltrinari,1,São Paulo,,,PT-BR
"CARVALHO, Clébia Rodrigues de","Paisagem do Turismo em Porto Seguro: Criação, transformação e valorização",2008,M,Profª. Dra. Sueli Ângelo Furlan,1,São Paulo,,,PT-BR
"CARVALHO, Deborah Luciana Ribeiro de",Indicadores geomorfológicos de mudanças ambientais no sistema fluvial do alto Tietê(município de São Paulo): Pesquisa Documental,2006,M,Profª. Dra. Cleide Rodrigues,2,São Paulo,,,PT-BR
"CASSETI, Valter",Estudo dos efeitos morfodinâmicos pluviais no planalto de Goiânia,,Doutorado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"CASTANHO, Leonardo R. A.","Análise dos Índices de produtividade pecuária exigidos pelo INCRA para as Microrregiões de Avaré e Bragança Paulista, e sua relação com o relevo",2008,M,Prof. Dr. Luis Antonio Bittar Venturi,1,São Paulo,,,PT-BR
"CASTRO, José Flávio Morais",Aplicação de um Sistema de Informação Geográfica na temática da Morfodinâmica: o Exemplo do Estudo da Bacia do Rio Mogi - Cubatão/SP,1993,M,Prof. Dr. Renato Herz,1,São Paulo,,,PT-BR
"CAVION, Renata",Cidade Sob(re) as Águas: Estratégias de Ação e de Políticas Urbanas,2014,D,Profª. Drª. Magda Adelaide Lombardo,1,São Paulo,,,PT-BR
"CERRI, Carlos Clemente","Contribuição ao estudo das arenas graníticas - caracterização mineralógica e química de uma topossequência da região de Itu, SP",1974,Mestrado,Profª. Drª. Olga Cruz,1,,,,PT-BR
"CERRI, Carlos Clemente","Contribuição ao Estudo das Areias Graníticas (caracterização mineralógica e Química de uma toposseqüência da região de Itu, SP)",1974,M,Prof. Dr. Adolpho José Melfi,1,São Paulo,,,PT-BR
"CHRISTOFOLETTI, Antônio",Memorial,1978,Memorial,Prof. Dr. Antônio Christofoletti,1,São Paulo,,,PT-BR
"CICCO, Valdir de","Determinação da evapotranspiração pelos métodos dos balanços hídrico e de cloreto e a quantificação da interpretaçào das chuvas na Mata Atlântica: São Paulo, SP e Cunha, SP",2009,D,Prof. Dr. Emerson Galvani,1,São Paulo,,,PT-BR
"CICIVIZZO, Vitalina Pagliuca",Relatório de atividades para exame de qualificação de mestrado,1986,Qualificação de mestrado,Prof. Dr. José Luiz de Morais,1,,,,PT-BR
"CLARO, Mariana Sgarbi","Unidades Morfológicas Complexas na bacia hidrográfica do Córrego da Tapera, São Paulo, SP: Contribuições ao planejamento urbano e ambiental",2013,M,Profa. Dra. Cleide Rodrigues,1,São Paulo,,,PT-BR
"COLANGELO, Antonio Carlos",Geomorfossíntese e Geomorfocinemática Aplicadas à Evolução e Estabilidade de Vertentes,2007,LD,,1,São Paulo,,,PT-BR
"COLTRINARI, Lylian",Contribuição à Geomorfologia da Região de Guaratinguetá - Aparecida,1973,D,Prof. Dr. Aziz Nacib Ab' Saber,1,São Paulo,,,PT-BR
"Conicelli, Bruno Pirilo",Gestão das aguas subterrâneas transfronteiricas: O caso do sistema Aquifero guarani,2009,M,Prof. Dr. Wagner Costa Ribeiro,1,São Paulo,,,PT-BR
"CORTEZ, Ana Tereza Caceres",Contribuição ao Estudo das Matas Ciliares: o Exemplo da Porção Meridional da APA de Corumbataí - SP,1991,D,Prof. Dr. Adilson A. Abreu,1,São Paulo,,,PT-BR
"COSTA, Renê",Impactos sobre remanescentes florestais de mata atlântica na região metropolitana de São Paulo: um estudo de caso da mata da Fazenda Tizo,2006,M,Profª. Dra. Sueli Angelo Furlan,2,São Paulo,,,PT-BR
"COSTA, Wanderley Messias ",Memorial,2007,Memorial,Prof. Dr. Wanderley Messias da Costa,1,São Paulo,,,PT-BR
"CRUZ-JUNIOR, Francisco William da","Aspectos geomorfológicos e geoespeleologia do Carste da Região de Iraquara, Centro- Norte da Chapada Diamantina, Estado da Bahia",1998,M,Prof. Dr. Ivo Karmann,1,São Paulo,,,PT-BR
"CRUZ, Olga",A serra do mar e o litoral na área de Caraguatatuba - SP. Contribuição à geomorfologia litorânea tropical,1972,D,Prof. Dr. Aziz Nacib Ab'Saber,2,São Paulo,,,PT-BR
"CUNHA, Bernardo Cristóvão Colombo da",Impactos Socio-Ambientais Decorrentes da Ocupação da planície de Inundação do Ribeirão Anicuns: O caso da Vila Roriz,2000,M,Prof. Dr. Valter Casseti,1,Goiânia,,,PT-BR
"CUNHA, Cenira Maria Lupinacci da",Quantificação e mapeamento das perdas de solo por erosão com base na malha fundiária,1997,M,Prof. Dr. Miguel Cézar Sanchez; Profa. Dra. Iandara Alves Mendes,1,Rio Claro,,,PT-BR
"CUSTÓDIO, Vanderli",Apropriação dos recursos hídricos e o abastecimento de água na região metropolitana de São Paulo (RMSP),1994,M,Prof. Dr. Manoel Fernandes Gonçalves Seabra,1,São Paulo,,,PT-BR
"DA SILVA, Juarez Jose",Proposta metedológica para análise da capidade de carga de praias: Estudo de caso em três praias do Guarujá (São Paulo),2012,M,Prof. Dr. Celia Regina de Gouveia Souza,1,São Paulo,,,PT-BR
"De Aguiar, Alexandre Marques",Analise hidrogeomorfologicas e hidrossedimentologicas para comparacão,2009,M,Profa. Dra. Cleide Rodrigues,1,São Paulo,,,PT-BR
"DE AGUIAR, Karina Barbosa","Análise da abordagem geomorfológica em Estudos de Impactos Ambientais (EIAs) de projetos hidrelétricos apresentados ao Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA), no período de 1993 a 2014",2015,M,Prof. Dr. Antonio Carlos Colangelo,1,São Paulo,,,PT-BR
"DE ANDRADE, Marcio Roberto M.",Planejamento Ambiental da APA Cabucu- Tanque Grande Guarulhos-SP,2009,D,Prof. Dr. Ailton Luchiari,1,São Paulo,,,PT-BR
"DE ARAUJO, Wellison Tatagiba",Evoluçao urbana e dinamica da paigem em setores perifericos da metrópole Paulistana: O caso de taboao da Serra-SP,2010,D,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"DE JESUS, Bruna Luiza Pereira","A relação entre a tempetura radiométrica de superfície (Land Surface Temperature - LST), índice de vegetação (Normalized Diference Vegetation Index - NDVI) e os diferentes padrões de uso da terra do município de São Paulo - SP",2015,M,Profª. Drª. Magda Adelaide Lombardo,1,São Paulo,,,PT-BR
"DE LIMA, Gabriela Narcizo",O desafio da manutenção do abastecimento hídrico na região metropolitana de São Paulo: busca por uma gestão sustentável,2015,D,Prof°. Dra. Magda Adelaide Lombardo,1,São Paulo,,,PT-BR
"De Melo, Marcos Antonio",Indicadores geoambientais como instrumento de avaliação e monitoramento aos projetos de zoneamento ecológico-econômico no Brasil,2015,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"De Melo, Marcos Antonio",Mapeamento de biotopos: Instrumento para o fomento da qualidade ambiental,2009,M,Profa. Dra. Sueli Ângelo Furlan,1,São Paulo,,,PT-BR
"DE OLIVEIRA, Jaime",Aplicação de tecnicas cartograficas no estudo de uso da terra: bacia do Rio Claro - Londrina (PR),1993,M,Prof. Dr. Mario de Biasi,1,São Paulo,,,PT-BR
"DE OLIVEIRA, Regina Celia",Zoneamento Ambiental como subsidio para o planejamento de uso e ocupacõa do solo do municipio de corumbatai- SP,2003,D,Prof. Dr. Miguel Cesar Sanchez,1,Rio Claro,,,PT-BR
